DateTime 	Ht-T-45 	 Ht-T-30 	Ht-T-15	Height 	BatVs
Tue Sep 10 17:32 	22.11 	19.87 	15.7 	11.8 	4.2
Tue Sep 10 16:32 	21.52 	21.68 	21.41 	21.92 	4.2
Tue Sep 10 15:32 	21.64 	21.6 	21.68 	21.64 	4.2
Tue Sep 10 14:32 	21.96 	21.76 	21.6 	21.48 	4.2
Tue Sep 10 13:32 	21.92 	21.88 	21.84 	21.8 	4.2
Tue Sep 10 12:31 	21.92 	21.88 	21.88 	21.96 	4.2
Tue Sep 10 11:32 	22.74 	22.51 	22.15 	21.8 	4.2
Tue Sep 10 10:32 	22.9 	22.82 	22.82 	22.63 	4.2
Tue Sep 10 09:32 	23.06 	22.94 	22.94 	22.86 	4.2
Tue Sep 10 08:32 	23.1 	23.14 	23.02 	23.02 	4.2
Tue Sep 10 07:32 	23.22 	23.26 	23.1 	22.98 	4.2
Tue Sep 10 06:32 	23.26 	23.18 	23.3 	23.3 	4.2
Tue Sep 10 05:32 	23.45 	23.45 	23.3 	23.3 	4.2
Tue Sep 10 04:32 	23.41 	23.49 	23.41 	23.61 	4.2
Tue Sep 10 03:32 	23.49 	23.53 	23.69 	23.41 	4.2
Tue Sep 10 02:32 	23.69 	23.49 	23.45 	23.57 	4.2
Tue Sep 10 01:32 	23.89 	23.61 	23.85 	23.81 	4.2
Tue Sep 10 00:32 	23.96 	24.0 	23.89 	23.85 	4.2
Mon Sep 9 23:32 	24.08 	23.96 	24.04 	23.96 	4.2
Mon Sep 9 22:32 	24.2 	24.2 	24.16 	23.96 	4.2
Mon Sep 9 21:32 	24.36 	24.59 	24.24 	24.24 	4.2
Mon Sep 9 20:32 	24.28 	24.2 	24.28 	24.16 	4.2
Mon Sep 9 19:32 	24.28 	24.12 	24.0 	24.08 	4.2
Mon Sep 9 18:32 	24.0 	24.0 	24.12 	24.24 	4.2
Mon Sep 9 17:32 	23.65 	23.73 	23.73 	24.0 	4.2
Mon Sep 9 16:32 	22.19 	22.31 	21.88 	22.35 	4.2
Mon Sep 9 15:32 	22.9 	23.22 	22.0 	21.6 	4.2
Mon Sep 9 14:32 	22.59 	21.92 	22.98 	23.22 	4.2
Mon Sep 9 13:32 	16.96 	17.04 	19.75 	20.22 	4.2
Mon Sep 9 12:32 	21.33 	20.81 	20.89 	22.7 	4.2
Mon Sep 9 11:32 	23.41 	23.18 	22.74 	21.72 	4.2
Mon Sep 9 10:32 	24.16 	24.04 	23.89 	23.61 	4.2
Mon Sep 9 09:32 	24.71 	24.48 	24.4 	24.36 	4.2
Mon Sep 9 08:32 	24.91 	24.75 	24.79 	24.75 	4.2
Mon Sep 9 07:32 	25.15 	25.07 	25.03 	24.91 	4.2
Mon Sep 9 06:32 	24.91 	25.22 	25.26 	25.22 	4.2
Mon Sep 9 05:33 	25.07 	25.22 	25.15 	25.15 	4.2
Mon Sep 9 04:32 	25.26 	25.18 	24.99 	25.11 	4.2
