DateTime 	Ht-T-45 	 Ht-T-30 	Ht-T-15	Height 	BatVs
Sat Aug 17 09:49 	35.34 	35.14 	34.55 	26.24 	4.2
Sat Aug 17 08:49 	36.44 	36.16 	35.85 	35.22 	4.2
Sat Aug 17 07:50 	38.49 	37.82 	37.23 	36.79 	4.2
Sat Aug 17 06:50 	40.89 	40.3 	39.75 	39.16 	4.0
Sat Aug 17 05:49 	43.33 	42.74 	42.15 	41.48 	4.0
Sat Aug 17 04:49 	46.05 	45.38 	44.79 	44.12 	4.0
Sat Aug 17 03:49 	48.92 	48.21 	47.35 	46.64 	4.0
Sat Aug 17 02:49 	52.46 	51.32 	50.49 	49.67 	4.0
Sat Aug 17 01:49 	55.89 	54.94 	54.08 	53.17 	4.1
Sat Aug 17 00:49 	59.98 	59.08 	57.9 	56.95 	4.1
Fri Aug 16 23:49 	64.51 	63.21 	62.35 	61.24 	4.1
Fri Aug 16 22:49 	69.24 	67.98 	66.83 	65.69 	4.1
Fri Aug 16 21:49 	74.2 	73.25 	71.83 	70.53 	4.1
Fri Aug 16 20:49 	79.35 	78.01 	76.75 	75.61 	4.1
Fri Aug 16 19:49 	84.98 	83.61 	82.15 	80.77 	4.1
Fri Aug 16 18:49 	91.72 	89.71 	87.98 	86.36 	4.1
Fri Aug 16 17:49 	98.09 	96.32 	94.63 	93.13 	4.1
Fri Aug 16 16:49 	105.57 	103.41 	101.48 	99.75 	4.1
Fri Aug 16 15:49 	112.35 	110.34 	108.68 	107.11 	4.1
Fri Aug 16 14:49 	120.57 	118.57 	116.48 	114.55 	4.1
Fri Aug 16 13:49 	129.16 	126.99 	124.83 	122.7 	4.1
Fri Aug 16 12:49 	130.65 	130.65 	128.84 	130.65 	4.1
Fri Aug 16 11:49 	126.87 	127.54 	130.65 	129.2 	4.2
Fri Aug 16 10:49 	130.65 	130.65 	130.65 	130.65 	4.2
Fri Aug 16 09:49 	129.79 	130.65 	130.65 	130.65 	4.2
Fri Aug 16 08:50 	123.64 	124.24 	125.61 	127.82 	4.2
Fri Aug 16 07:49 	124.12 	123.92 	123.57 	123.53 	4.2
Fri Aug 16 06:50 	124.75 	124.63 	124.51 	124.31 	4.0
Fri Aug 16 05:49 	125.26 	125.14 	125.06 	124.94 	4.0
Fri Aug 16 04:49 	125.77 	125.65 	125.53 	125.38 	4.0
Fri Aug 16 03:51 	126.28 	126.12 	126.01 	125.89 	4.1
Fri Aug 16 02:49 	126.79 	126.68 	126.52 	126.4 	4.1
Fri Aug 16 01:49 	127.5 	127.38 	127.23 	126.91 	4.1
Fri Aug 16 00:49 	128.13 	127.98 	127.82 	127.66 	4.1
Thu Aug 15 23:49 	128.72 	128.57 	128.41 	128.29 	4.1
Thu Aug 15 22:49 	129.35 	129.16 	129.04 	128.88 	4.1
Thu Aug 15 21:49 	129.9 	129.79 	129.67 	129.47 	4.1
Thu Aug 15 20:49 	130.61 	130.42 	130.22 	130.06 	4.1
Thu Aug 15 19:49 	127.86 	130.65 	130.65 	130.65 	4.1
Thu Aug 15 18:49 	130.65 	130.65 	130.65 	130.65 	4.1
Thu Aug 15 17:49 	130.65 	126.24 	130.65 	130.65 	4.1
Thu Aug 15 16:50 	128.33 	128.13 	130.65 	129.79 	4.1
Thu Aug 15 15:49 	130.65 	130.65 	130.65 	127.03 	4.1
Thu Aug 15 14:49 	127.54 	130.65 	130.65 	130.65 	4.2
Thu Aug 15 13:49 	128.96 	130.65 	130.65 	130.65 	4.2
Thu Aug 15 12:49 	130.65 	130.65 	130.65 	128.37 	4.1
Thu Aug 15 11:49 	130.65 	130.65 	130.65 	129.35 	4.2
Thu Aug 15 10:49 	130.65 	128.45 	129.94 	130.65 	4.2
Thu Aug 15 09:49 	130.65 	130.65 	130.65 	128.45 	4.2
Thu Aug 15 08:49 	124.75 	125.53 	127.11 	129.12 	4.2
Thu Aug 15 07:49 	125.18 	124.98 	124.79 	124.67 	4.2
Thu Aug 15 06:49 	125.81 	125.69 	125.57 	125.38 	4.0
Thu Aug 15 05:49 	126.32 	126.2 	126.09 	125.97 	4.0
Thu Aug 15 04:49 	126.83 	126.72 	126.56 	126.44 	4.0
Thu Aug 15 03:49 	127.54 	127.38 	127.11 	126.95 	4.0
Thu Aug 15 02:49 	128.01 	127.9 	127.74 	127.62 	4.0
Thu Aug 15 01:50 	128.53 	128.41 	128.29 	128.13 	4.1
Thu Aug 15 00:49 	129.04 	128.92 	128.76 	128.64 	4.1
Wed Aug 14 23:50 	129.47 	129.39 	129.27 	129.16 	4.1
Wed Aug 14 22:49 	129.98 	129.83 	129.71 	129.63 	4.1
Wed Aug 14 21:50 	130.5 	130.38 	130.22 	130.1 	4.1
Wed Aug 14 20:50 	126.64 	130.65 	130.65 	130.65 	4.1
Wed Aug 14 19:50 	130.65 	130.65 	130.65 	128.57 	4.1
Wed Aug 14 18:50 	130.65 	130.65 	130.65 	130.65 	4.1
Wed Aug 14 17:50 	130.18 	130.65 	130.65 	130.65 	4.1
Wed Aug 14 16:50 	127.46 	128.13 	130.65 	130.65 	4.1
Wed Aug 14 15:50 	130.65 	130.65 	130.65 	130.65 	4.1
Wed Aug 14 14:50 	130.65 	130.65 	130.18 	130.65 	4.2
Wed Aug 14 13:50 	130.46 	127.86 	128.41 	128.92 	4.1
Wed Aug 14 12:50 	130.65 	130.65 	130.65 	128.49 	4.1
Wed Aug 14 11:50 	129.47 	130.65 	128.53 	129.43 	4.1
Wed Aug 14 10:50 	130.65 	128.21 	128.76 	130.65 	4.1
Wed Aug 14 09:50 	129.16 	130.65 	127.62 	130.65 	4.2
Wed Aug 14 08:50 	121.95 	122.78 	124.24 	126.24 	4.2
Wed Aug 14 07:50 	122.5 	122.27 	122.07 	121.87 	4.1
Wed Aug 14 06:50 	123.17 	123.01 	122.9 	122.74 	4.0
Wed Aug 14 05:50 	123.64 	123.53 	123.41 	123.29 	4.0
Wed Aug 14 04:50 	124.16 	124.04 	123.92 	123.8 	4.0
Wed Aug 14 03:50 	124.67 	124.55 	124.43 	124.31 	4.0
Wed Aug 14 02:50 	125.14 	125.06 	124.94 	124.79 	4.1
Wed Aug 14 01:50 	125.65 	125.53 	125.42 	125.26 	4.1
Wed Aug 14 00:50 	126.16 	126.01 	125.89 	125.77 	4.1
Tue Aug 13 23:50 	126.68 	126.56 	126.44 	126.32 	4.1
Tue Aug 13 22:50 	127.42 	127.11 	126.99 	126.83 	4.1
Tue Aug 13 21:50 	127.94 	127.82 	127.7 	127.54 	4.1
Tue Aug 13 20:50 	128.41 	128.33 	128.21 	128.09 	4.1
Tue Aug 13 19:50 	128.92 	128.76 	128.61 	128.49 	4.2
Tue Aug 13 18:50 	129.31 	129.12 	129.0 	129.04 	4.2
Tue Aug 13 17:50 	130.06 	129.94 	129.75 	129.51 	4.1
Tue Aug 13 16:50 	130.65 	130.57 	130.26 	130.14 	4.1
Tue Aug 13 15:51 	130.65 	130.65 	129.94 	130.65 	4.1
Tue Aug 13 14:50 	128.92 	130.65 	126.6 	128.17 	4.2
Tue Aug 13 13:50 	128.49 	130.65 	130.65 	128.76 	4.2
Tue Aug 13 12:50 	126.91 	130.65 	129.79 	130.65 	4.2
Tue Aug 13 11:50 	130.65 	126.48 	130.65 	130.65 	4.2
Tue Aug 13 10:50 	130.65 	129.2 	130.65 	130.65 	4.2
Tue Aug 13 09:50 	130.65 	127.74 	129.9 	130.65 	4.1
Tue Aug 13 08:50 	125.73 	126.87 	128.41 	130.46 	4.2
Tue Aug 13 07:50 	125.73 	125.57 	125.42 	125.3 	4.1
Tue Aug 13 06:50 	126.2 	126.09 	126.01 	125.85 	4.0
Tue Aug 13 05:50 	126.68 	126.56 	126.44 	126.32 	4.0
Tue Aug 13 04:51 	127.11 	126.99 	126.87 	126.75 	4.0
Tue Aug 13 03:51 	127.74 	127.62 	127.35 	127.38 	4.0
Tue Aug 13 02:50 	128.17 	128.05 	127.94 	127.82 	4.1
Tue Aug 13 01:50 	128.61 	128.53 	128.41 	128.29 	4.1
Tue Aug 13 00:50 	129.04 	128.92 	128.8 	128.72 	4.1
Mon Aug 12 23:50 	129.43 	129.35 	129.24 	129.12 	4.1
Mon Aug 12 22:50 	129.9 	129.83 	129.67 	129.55 	4.1
Mon Aug 12 21:50 	130.42 	130.3 	130.14 	130.02 	4.1
Mon Aug 12 20:50 	130.65 	130.65 	130.65 	130.53 	4.1
Mon Aug 12 19:50 	130.65 	130.65 	128.72 	127.78 	4.1
Mon Aug 12 18:50 	129.47 	130.65 	130.65 	130.65 	4.1
Mon Aug 12 17:51 	130.65 	127.46 	130.65 	128.41 	4.1
Mon Aug 12 16:50 	128.25 	128.92 	130.65 	128.17 	4.1
Mon Aug 12 15:50 	128.53 	130.65 	130.65 	130.65 	4.1
Mon Aug 12 14:50 	130.65 	130.65 	130.65 	127.35 	4.1
Mon Aug 12 13:50 	130.65 	129.51 	130.65 	129.51 	4.1
