DateTime 	Ht-T-45 	 Ht-T-30 	Ht-T-15	Height 	BatVs
Sat Aug 16 14:51 	0.07 	0.06 	0.06 	0.05 	4.6
Sat Aug 16 13:53 	0.06 	0.07 	0.07 	0.07 	4.6
Sat Aug 16 12:49 	0.09 	0.08 	0.08 	0.08 	4.6
Sat Aug 16 11:50 	0.09 	0.08 	0.07 	0.07 	4.6
Sat Aug 16 10:50 	0.09 	0.08 	0.09 	0.08 	4.6
Sat Aug 16 09:49 	0.09 	0.07 	0.08 	0.08 	4.6
Sat Aug 16 08:49 	0.11 	0.1 	0.1 	0.1 	4.6
Sat Aug 16 07:54 	0.11 	0.1 	0.1 	0.1 	3.8
Sat Aug 16 06:53 	0.1 	0.1 	0.1 	0.1 	3.8
Sat Aug 16 05:49 	0.1 	0.09 	0.09 	0.09 	3.8
Sat Aug 16 04:51 	0.09 	0.08 	0.08 	0.09 	3.8
Sat Aug 16 03:51 	0.08 	0.08 	0.09 	0.08 	3.8
Sat Aug 16 02:54 	0.08 	0.08 	0.09 	0.08 	3.8
Sat Aug 16 01:51 	0.08 	0.08 	0.08 	0.08 	3.8
Fri Aug 15 22:49 	0.07 	0.07 	0.07 	0.07 	3.8
Fri Aug 15 21:50 	0.07 	0.07 	0.07 	0.07 	3.8
Fri Aug 15 20:52 	0.07 	0.07 	0.07 	0.07 	3.9
Fri Aug 15 19:51 	0.04 	0.05 	0.05 	0.05 	3.9
Fri Aug 15 18:49 	0.02 	0.01 	0.03 	0.05 	4.4
Fri Aug 15 17:51 	0.05 	0.06 	0.03 	0.05 	4.6
Fri Aug 15 16:50 	0.06 	0.06 	0.05 	0.05 	3.9
Fri Aug 15 15:53 	0.08 	0.08 	0.08 	0.08 	4.6
Fri Aug 15 13:51 	0.1 	0.11 	0.09 	0.09 	4.6
Fri Aug 15 12:51 	0.11 	0.11 	0.11 	0.1 	4.6
Fri Aug 15 11:51 	0.11 	0.12 	0.1 	0.12 	4.5
Fri Aug 15 09:53 	0.12 	0.11 	0.11 	0.12 	4.6
Fri Aug 15 08:53 	0.13 	0.13 	0.13 	0.12 	4.6
Fri Aug 15 07:51 	0.12 	0.12 	0.13 	0.12 	3.8
Fri Aug 15 06:51 	0.12 	0.13 	0.12 	0.12 	3.8
Fri Aug 15 05:54 	0.11 	0.11 	0.11 	0.11 	3.8
Fri Aug 15 04:52 	0.11 	0.11 	0.11 	0.11 	3.8
Fri Aug 15 03:51 	0.11 	0.11 	0.11 	0.11 	3.8
Fri Aug 15 02:51 	0.11 	0.1 	0.11 	0.11 	3.8
Fri Aug 15 01:54 	0.11 	0.1 	0.09 	0.11 	3.8
Fri Aug 15 00:51 	0.1 	0.1 	0.09 	0.1 	3.8
Thu Aug 14 23:53 	0.1 	0.1 	0.09 	0.1 	3.8
Thu Aug 14 22:54 	0.08 	0.09 	0.09 	0.09 	3.8
Thu Aug 14 20:53 	0.07 	0.07 	0.08 	0.08 	3.8
Thu Aug 14 19:54 	0.06 	0.06 	0.07 	0.07 	3.8
Thu Aug 14 18:51 	0.02 	0.04 	0.06 	0.06 	4.6
Thu Aug 14 17:52 	0.06 	0.05 	0.04 	0.06 	4.6
Thu Aug 14 16:52 	0.06 	0.06 	0.06 	0.05 	4.6
Thu Aug 14 15:52 	0.09 	0.08 	0.08 	0.07 	4.6
Thu Aug 14 14:52 	0.09 	0.09 	0.09 	0.09 	3.9
Thu Aug 14 11:52 	0.11 	0.11 	0.1 	0.1 	4.6
Thu Aug 14 10:53 	0.11 	0.11 	0.11 	0.11 	4.6
Thu Aug 14 09:53 	0.11 	0.11 	0.11 	0.11 	4.6
Thu Aug 14 08:52 	0.11 	0.11 	0.11 	0.11 	4.6
Thu Aug 14 07:53 	0.11 	0.11 	0.11 	0.11 	4.5
Thu Aug 14 06:56 	0.11 	0.11 	0.11 	0.11 	3.8
Thu Aug 14 05:52 	0.1 	0.1 	0.11 	0.11 	3.8
Thu Aug 14 04:52 	0.11 	0.11 	0.12 	0.1 	3.8
Thu Aug 14 03:52 	0.1 	0.1 	0.1 	0.1 	3.8
Thu Aug 14 02:55 	0.1 	0.1 	0.1 	0.1 	3.8
Thu Aug 14 01:52 	0.08 	0.09 	0.09 	0.09 	3.8
Wed Aug 13 22:52 	0.08 	0.08 	0.07 	0.08 	3.8
Wed Aug 13 21:55 	0.08 	0.07 	0.07 	0.08 	3.8
Wed Aug 13 20:55 	0.07 	0.07 	0.07 	0.07 	3.8
Wed Aug 13 19:53 	0.07 	0.07 	0.07 	0.07 	3.9
Wed Aug 13 18:57 	0.03 	0.05 	0.06 	0.06 	4.6
Wed Aug 13 16:54 	0.07 	0.08 	0.06 	0.06 	4.6
Wed Aug 13 15:57 	0.08 	0.09 	0.08 	0.08 	4.6
Wed Aug 13 13:54 	0.1 	0.1 	0.09 	0.1 	4.6
Wed Aug 13 12:55 	0.11 	0.11 	0.11 	0.1 	4.6
Wed Aug 13 11:54 	0.11 	0.12 	0.11 	0.11 	4.6
Wed Aug 13 09:56 	0.12 	0.11 	0.11 	0.12 	4.6
Wed Aug 13 08:56 	0.14 	0.14 	0.13 	0.13 	4.6
Wed Aug 13 07:54 	0.13 	0.13 	0.14 	0.14 	4.3
Wed Aug 13 06:54 	0.13 	0.13 	0.14 	0.14 	3.8
Wed Aug 13 05:58 	0.13 	0.13 	0.13 	0.13 	3.8
Wed Aug 13 04:59 	0.13 	0.13 	0.13 	0.13 	3.8
Wed Aug 13 03:55 	0.12 	0.12 	0.12 	0.12 	3.8
Wed Aug 13 02:55 	0.11 	0.11 	0.12 	0.13 	3.8
Wed Aug 13 01:58 	0.11 	0.11 	0.11 	0.12 	3.8
Wed Aug 13 00:56 	0.11 	0.11 	0.1 	0.1 	3.8
